RGAP,Objective Function,Time
0.47875,5.79276e+06,0.001
0.4405078447,5661182.847,0.001
0.4253819376,5594149.751,0.002
0.4208945821,5574237.23,0.002
0.4146905164,5519888.507,0.003
0.3950862996,5449800.352,0.003
0.3887639417,5436678.569,0.004
0.3540299414,5323516.449,0.004
0.3456627721,5282355.054,0.005
0.2801082002,5096384.078,0.006
0.2577100732,5025984.465,0.006
0.2512509962,4962342.322,0.007
0.2158399544,4838862.421,0.008
0.2201474161,4814617.294,0.008
0.182445784,4788437.403,0.009
0.1553456466,4721638.25,0.009
0.133168017,4689403.73,0.01
0.1258530694,4620537.068,0.01
0.1061144792,4583530.245,0.011
0.09366880126,4572017.427,0.012
0.09145748226,4560245.163,0.012
0.08663282039,4533448.571,0.013
0.08388790967,4530489.923,0.013
0.0876396006,4510031.912,0.015
0.04518456176,4427482.06,0.017
0.04095116633,4417131.686,0.019
0.04023840739,4415364.531,0.02
0.04025509974,4415275.488,0.022
0.04028071795,4415270.24,0.024
0.04028202328,4415270.114,0.026
0.04028220594,4415270.096,0.028
0.0402822253,4415270.09,0.03
0.04028224297,4415270.087,0.031
0.04028226381,4415270.087,0.033
0.04028228182,4415270.086,0.035
0.04028229508,4415270.086,0.037
0.04028230405,4415270.086,0.038
0.04028230985,4415270.086,0.04
0.04028231349,4415270.086,0.042
0.04028231573,4415270.086,0.044
0.0402823171,4415270.086,0.045
0.04028231793,4415270.086,0.047
0.04028231843,4415270.086,0.049
0.04028231874,4415270.086,0.05
0.04028231874,4415270.086,0.051
0.04794953996,4386100.712,0.051
0.04704846804,4381877.699,0.052
0.04098488403,4378923.69,0.052
0.04044811087,4378833.749,0.053
0.03975413171,4374366.542,0.053
0.04008910407,4373682.458,0.054
0.03905515202,4372424.748,0.055
0.04372386115,4366004.618,0.056
0.04359484069,4354947.449,0.056
0.03559145311,4351452.077,0.057
0.03469548696,4350993.305,0.057
0.02996176658,4344381.278,0.058
0.02938638743,4344202.1,0.059
0.02918116926,4311710.018,0.059
0.02845248393,4307513.748,0.06
0.02638581521,4299931.053,0.06
0.02665175163,4288221.571,0.061
0.02561185211,4286530.357,0.061
0.02328993763,4283777.381,0.062
0.01884952941,4280252.618,0.063
0.01721716774,4275175.818,0.063
0.01596172304,4273795.571,0.064
0.0162393719,4272465.397,0.064
0.010116562,4258346.915,0.066
0.008463729791,4256303.478,0.068
0.008217933245,4255694.176,0.07
0.007465591172,4255482.421,0.072
0.007021704103,4255396.508,0.074
0.006771266989,4255351.286,0.075
0.0066009032,4255324.27,0.077
0.006473528054,4255307.463,0.079
0.006378355149,4255296.898,0.081
0.006308771611,4255290.231,0.083
0.006257439065,4255286.011,0.085
0.006219434139,4255283.328,0.086
0.006190600547,4255281.616,0.088
0.006169711179,4255280.519,0.09
0.006153387136,4255279.814,0.092
0.006140380653,4255279.358,0.094
0.00613006735,4255279.062,0.096
0.006121913836,4255278.869,0.097
0.006115345108,4255278.743,0.099
0.006110039509,4255278.661,0.101
0.006110039509,4255278.661,0.101
0.006489989958,4253573.356,0.102
0.007540659615,4251722.841,0.102
0.007343407052,4250920.179,0.103
0.006702194247,4249303.278,0.103
0.006654472508,4249294.866,0.104
0.006832276209,4249125.705,0.104
0.007028300695,4247952.51,0.105
0.008263185796,4247038.529,0.105
0.008465272631,4246573.205,0.105
0.007745589524,4246172.849,0.106
0.008033714363,4246076.064,0.107
0.006658582085,4245293.868,0.107
0.006394231815,4245272.846,0.108
0.006413895948,4245264.805,0.108
0.006115059125,4242387.62,0.109
0.00649604792,4242206.861,0.109
0.005950187628,4241170.263,0.11
0.005692692449,4240508.479,0.11
0.005018116173,4238808.771,0.11
0.004379898667,4238536.49,0.111
0.004373669735,4238535.607,0.111
0.002796762272,4237185.114,0.112
0.00309090197,4237013.407,0.112
0.002916636177,4233389.404,0.114
0.001771938838,4232898.086,0.116
0.00180240295,4232745.245,0.118
0.001983895556,4232661.218,0.12
0.002076105198,4232614.854,0.122
0.002160490627,4232590.014,0.123
0.002126944111,4232579.429,0.125
0.002078532467,4232574.602,0.127
0.002033820568,4232570.797,0.128
0.001998467491,4232567.562,0.13
0.001969493591,4232564.76,0.132
0.001948419345,4232563.055,0.134
0.001949391989,4232562.507,0.135
0.001952783828,4232562.294,0.137
0.001954053607,4232562.216,0.139
0.001954868877,4232562.187,0.141
0.00195533477,4232562.176,0.143
0.001955589267,4232562.171,0.145
0.001955726173,4232562.17,0.147
0.001955799631,4232562.169,0.148
0.001955799631,4232562.169,0.149
0.001955785349,4232562.169,0.149
0.001955808316,4232562.169,0.15
0.001955795006,4232562.169,0.15
0.001955807885,4232562.169,0.151
0.001955800992,4232562.169,0.151
0.00195580284,4232562.169,0.152
0.002811197279,4232431.882,0.152
0.002300502993,4232414.186,0.153
0.00229148417,4232411.669,0.153
0.002144097167,4232403.094,0.154
0.003107267075,4232125.629,0.154
0.002231587529,4231996.67,0.155
0.002244224767,4231993.748,0.156
0.002210004845,4231993.474,0.156
0.002148142062,4231985.053,0.156
0.00102242358,4231814.209,0.157
0.0007291423387,4231755.518,0.158
0.0008026305599,4231732.339,0.158
0.0008842211262,4231697.699,0.159
0.0007854103959,4231685.632,0.159
0.0007743534921,4231684.244,0.16
0.0005784102538,4231647.511,0.16
0.0005458383828,4231646.118,0.161
0.0002997164034,4231489.354,0.163
0.0001738526036,4231420.159,0.165
8.406966408e-05,4231415.616,0.166
4.786335849e-05,4231415.031,0.168
3.058433892e-05,4231414.854,0.17
2.219104102e-05,4231414.802,0.172
1.793363038e-05,4231414.786,0.174
1.58770393e-05,4231414.782,0.176
1.467020407e-05,4231414.78,0.178
1.390114589e-05,4231414.78,0.18
1.341013743e-05,4231414.779,0.182
1.310671548e-05,4231414.779,0.184
1.292356883e-05,4231414.779,0.185
1.281005254e-05,4231414.779,0.187
1.273307973e-05,4231414.779,0.189
1.268100404e-05,4231414.779,0.191
1.264533621e-05,4231414.779,0.193
1.262092055e-05,4231414.779,0.195
1.260420866e-05,4231414.779,0.197
1.259291126e-05,4231414.779,0.198
1.259291126e-05,4231414.779,0.199
1.259291126e-05,4231414.779,0.199
1.259469228e-05,4231414.779,0.2
1.259441722e-05,4231414.779,0.2
1.259450419e-05,4231414.779,0.201
1.259442831e-05,4231414.779,0.201
1.259395877e-05,4231414.779,0.201
1.259491341e-05,4231414.779,0.202
1.259491282e-05,4231414.779,0.202
1.259083508e-05,4231414.779,0.203
1.258544467e-05,4231414.779,0.203
1.258551921e-05,4231414.779,0.204
1.258332192e-05,4231414.779,0.205
1.941112746e-05,4231414.767,0.205
1.879553047e-05,4231414.767,0.206
1.886870737e-05,4231414.766,0.206
0.0003244554671,4231458.284,0.207
0.0003186206022,4231457.32,0.207
0.0003392176354,4231436.837,0.208
0.0002703130284,4231436.297,0.209
0.0001700408812,4231433.897,0.209
0.000455702252,4231403.984,0.21
0.0002943768683,4231398.681,0.211
0.000288596448,4231398.636,0.212
0.0001569625432,4231351.722,0.215
9.159025591e-05,4231341.621,0.217
6.434009135e-05,4231339.096,0.219
4.88253922e-05,4231338.042,0.22
3.891201214e-05,4231337.529,0.223
3.197362259e-05,4231337.233,0.226
2.718330613e-05,4231337.031,0.228
2.396216954e-05,4231336.873,0.23
2.164550666e-05,4231336.739,0.232
1.984866869e-05,4231336.621,0.236
1.848058153e-05,4231336.515,0.239
1.727005942e-05,4231336.418,0.243
1.630757667e-05,4231336.328,0.247
1.566677849e-05,4231336.246,0.251
1.508562932e-05,4231336.171,0.254
1.452263605e-05,4231336.101,0.258
